Country,Life_Exp,Mean_Years_School,Surface,Births_by_Professionals,Water_Productivity,Inflation,Mortality_Rate,GDP_Growth,Ease_Business,Out_Of_School_Primary,Master_DG_Over_25,Migrants,Forested,GDP_Per_Capita,Start_UP_Procedures,Broad_Band
Brunei Darussalam,74.6424,9.18,5770,100,147.8756937,-0.488347421,10.6,1.021234533,70.06387,2.909707082,1.896569967,-0.20406222,65.85788562,0.436404266,0.277777778,0.216629065
Russian Federation,69.419,12.77428805,17098250,99.7,21.20209453,15.53440505,8.2,4.258942655,78.16284,2.41394043,1.896569967,1.255245351,47.6616297,0.180937027,0.166666667,0.309666906
Romania,74.1847,11.27511978,238400,94.3,24.77055678,-0.594156437,9.2,3.765709244,73.3332,6.850082397,1.896569967,-1.569441322,28.94697987,0.200519664,0.222222222,0.394003071
Oman,72.5406,11.65404034,309500,98.65,44.247584,0.065290133,11.2,3.762036107,69.98474,1.458778381,1.642160058,16.95803634,0.009693053,0.180170528,0.277777778,0.144711004
Bahamas,71.5983,12.64192386,13880,98,20.18054562,1.861483029,14,0.948517048,59.87155,3.270813005,1.642160058,1.259466786,36.73342939,0.20366066,0.333333333,0.281419848
Kazakhstan,69.3622,12.34756189,2724902,99.4,7.712031419,6.665776115,11.9,7.29375,79.55915,0.279243469,0.089170001,0.840975013,1.214156032,0.158873122,0.222222222,0.186074516
Trinidad and Tobago,72.9709,11.61062419,5130,100,72.60405314,4.661215981,19.3,4.508680487,61.29128,1.266487122,1.662019968,-0.284956113,44.89083821,0.155103064,0.277777778,0.358960801
Costa Rica,77.0232,8.804059982,51100,90,21.94324773,0.801982005,9.1,4.202300539,69.2383,1.099998474,2.857599974,0.382521838,57.78923679,0.131709525,0.388888889,0.259835625
Uruguay,75.4356,8.982549667,176220,99.9,13.42453165,8.666269871,8.9,2.910876761,61.53994,0.503128052,2.115760088,-0.860794594,10.89547157,0.140570758,0.166666667,0.408283891
Belarus,72.438,12.14358044,207600,99.8,37.45623691,13.53448976,4.1,5.389244072,74.29113,2.142808916,0.916729987,0.772168901,41.5871869,0.124007112,0.166666667,0.459370052
Panama,76.2233,10.54059029,75320,96.3,39.41691048,0.137492058,17,6.299746049,66.56045,7.07649231,16.80097961,0.641434842,56.7035316,0.17950325,0.166666667,0.173794784
Malaysia,74.8839,10.64505959,330345,99.4,42.2958198,2.104389802,8.1,5.11610459,81.47337,1.396858215,1.622210026,0.762745645,58.92088574,0.177457406,0.222222222,0.138367427
Georgia,71.694,12.82221985,69700,99.9,7.864514658,4.003578207,10.5,5.651321272,83.73393,0.374076843,6.446639876,-2.570774495,40.49354376,0.095363316,0,0.324934003
Mauritius,73.5552,10.42791048,2040,99.8,18.09230468,1.286549708,14.5,4.193860818,81.46811,3.962432861,8.289943172,-0.954062209,18.7745098,0.145748553,0.166666667,0.338845869
Serbia,74.1923,11.36987019,88360,98.4,8.73696213,1.39235822,6.3,3.625212444,75.65345,0.793769836,2.206219912,0.43189163,30.77784065,0.12588298,0.222222222,0.335779993
Thailand,78.7154,8.697119713,513120,99.6,6.547619324,-0.900424963,10.8,4.097195605,80.09233,2.624406497,2.125740051,0.239187965,39.09611787,0.111557834,0.277777778,0.219260145
Albania,76.4626,11.28645502,28750,99.3,9.638438252,3.501208355,9.6,4.484425763,67.74847,2.70467276,12.33073044,-4.857973885,27.45,0.091714682,0.166666667,0.235799352
Bulgaria,71.798,11.41318035,111000,99.8,8.55751623,-0.104633261,8.2,3.597330558,71.97405,6.841079712,12.33073044,-0.354711648,34.53153153,0.152960221,0.277777778,0.40585637
Grenada,74.9362,9.032104,340,99,64.63991207,-0.515448031,16.2,2.505855026,53.44488,2.883406418,8.929066977,-0.884838296,52.05882353,0.087282497,0.222222222,0.379181738
Seychelles,71.2945,10.28312,460,99,107.1227243,4.041944107,14.8,3.035178785,61.70497,3.591114546,10.31492987,-1.008044193,73.26086957,0.171794589,0.388888889,0.474049369
Sri Lanka,76.3991,10.82730007,65610,99.95,5.463500832,3.768367831,8.7,5.558117907,61.80614,0.918792725,0.717149973,-2.187994223,32.44657827,0.081085578,0.333333333,0.110930076
Bosnia and Herzegovina,75.3003,10.53631973,51210,99.9,34.7205658,-1.036023034,6.3,3.475783076,65.44253,3.454585881,0.717149973,-7.921931913,42.18902558,0.099317831,0.611111111,0.313102308
